id,name,picture_url,xl_picture_url,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_neighbourhood,host_listings_count,host_total_listings_count,street,neighbourhood_group_cleansed,city,state,zipcode,market,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_private_rooms,reviews_per_month
14386,Quiet Cozy Upstairs BR Green Lake,https://a0.muscache.com/im/pictures/df2801dd-ebcf-4ed4-85cf-d58be2fb40d6.jpg?aki_policy=large,,39377,Bob,2009-09-18,"Seattle, Washington, United States",within a day,100%,Green Lake,3,3,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.68725,-122.3347,House,Private room,2,1.5,1,1,,40,225,650,,,1,10,1,730,t,141,22,2010-08-09,2019-06-28,92,9,9,10,10,10,9,f,3,3,1.27
15108,Green Lake Private Ground Floor BR,https://a0.muscache.com/im/pictures/26318647/898657a2_original.jpg?aki_policy=large,,39377,Bob,2009-09-18,"Seattle, Washington, United States",within a day,100%,Green Lake,3,3,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.68827,-122.33586,House,Private room,6,1,3,3,140,60,375,1000,0,10,1,15,1,730,t,71,3,2011-07-06,2019-03-31,90,9,9,10,10,10,9,f,3,3,0.71
15749,Green Lake guest room with active family,https://a0.muscache.com/im/pictures/f5308508-0c47-42f6-a826-51f0cf7d917e.jpg?aki_policy=large,,61636,Angela,2009-12-09,"Seattle, Washington, United States",within an hour,100%,Green Lake,2,2,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98115,Seattle,United States,47.68407,-122.32649,House,Private room,1,1,1,1,,32,385,950,500,20,1,5,24,140,t,20,4,2011-11-13,2019-08-31,95,9,8,10,10,10,9,f,2,1,0.21
17951,"West Seattle, The Starlight Studio",https://a0.muscache.com/im/pictures/c48bc0ee-ea14-4cda-a68b-29fd14c3000a.jpg?aki_policy=large,,33360,Laura,2009-08-23,"Seattle, Washington, United States",within an hour,100%,The Junction,8,8,"Seattle, WA, United States",West Seattle,Seattle,WA,98136,Seattle,United States,47.55538,-122.38622,Guest suite,Entire home/apt,2,1,0,1,,105,630,2500,300,50,2,0,2,120,t,114,33,2010-06-10,2019-09-15,98,10,10,10,10,10,10,t,7,0,1.01
19619,Amazing Puget Sound Views  SALE 9/22,https://a0.muscache.com/im/pictures/868235ae-7350-4e40-9357-3ec3ba350a51.jpg?aki_policy=large,,74305,Seattle Oasis,2010-01-27,"Seattle, Washington, United States",within an hour,98%,Belltown,57,57,"Seattle, WA, United States",Downtown,Seattle,WA,98121,Seattle,United States,47.61362,-122.34706,Condominium,Entire home/apt,4,1,1,1,,145,,,500,107,1,0,2,365,t,102,27,2010-09-04,2019-09-07,97,10,10,10,10,10,9,f,53,0,0.93
20927,Cottage in the Heart of Ballard,https://a0.muscache.com/im/pictures/6a637b4f-54d4-4806-b64d-9d180f4a54ad.jpg?aki_policy=large,,79450,Brad / Liz,2010-02-09,"Seattle, Washington, United States",within an hour,100%,Ballard,2,2,"Seattle, WA, United States",Ballard,Seattle,WA,98107,Seattle,United States,47.67334,-122.39512,Guesthouse,Entire home/apt,2,1,1,1,400,89,549,,0,20,2,0,2,28,t,557,89,2010-07-04,2019-09-15,97,10,9,10,10,10,10,t,2,0,4.96
20928,Victorian in the Heart of Ballard,https://a0.muscache.com/im/pictures/966ba8af-4a75-43f8-b2e8-0ce909af187e.jpg?aki_policy=large,,79450,Brad / Liz,2010-02-09,"Seattle, Washington, United States",within an hour,100%,Ballard,2,2,"Seattle, WA, United States",Ballard,Seattle,WA,98107,Seattle,United States,47.67361,-122.3938,Guest suite,Entire home/apt,2,1,1,1,,79,499,,0,20,1,0,2,21,t,316,65,2015-06-07,2019-08-10,97,10,10,10,10,10,10,t,2,0,6.04
23192,Large Modern Unit - 3 blocks from the light-rail,https://a0.muscache.com/im/pictures/34f5bb07-3f65-4c1b-8e66-dcedabeeb9da.jpg?aki_policy=large,,90437,Ian,2010-03-09,"Seattle, Washington, United States",within an hour,100%,Capitol Hill,7,7,"Seattle, WA, United States",Capitol Hill,Seattle,WA,98102,Seattle,United States,47.62237,-122.31592,Apartment,Entire home/apt,5,1,1,3,,200,,,300,80,2,10,3,730,t,119,31,2013-06-10,2019-09-03,97,10,10,10,10,10,10,f,4,0,1.55
24212,Stylish Oasis in a Prime Location in Belltown,"https://a0.muscache.com/4ea/air/v2//pictures/31525217-642e-48cd-a0e1-d68b5b1debf3.jpg?t=r:w1200-h720-sfit,e:fjpg-c85",,74305,Seattle Oasis,2010-01-27,"Seattle, Washington, United States",within an hour,98%,Belltown,57,57,"Seattle, WA, United States",Downtown,Seattle,WA,98121,Seattle,United States,47.6154,-122.34866,Condominium,Entire home/apt,6,1,2,2,710,157,,,500,130,6,0,1,365,t,88,14,2010-11-02,2019-09-04,94,10,10,10,10,10,9,f,53,0,0.81
25002,"Beautiful, Private Spot in Quiet Ballard",https://a0.muscache.com/im/pictures/491561/cf5270cc_original.jpg?aki_policy=large,,102684,Amanda,2010-04-02,"Seattle, Washington, United States",within an hour,100%,Ballard,1,1,"Seattle, WA, United States",Ballard,Seattle,WA,98117,Seattle,United States,47.67941,-122.37054,Guest suite,Entire home/apt,4,1,1,2,,70,525,1800,0,15,2,15,2,365,t,759,87,2010-04-23,2019-09-13,98,10,10,10,10,10,10,t,1,0,6.62
26116,2-bedroom Capitol Hill Pied-à-terre,https://a0.muscache.com/im/pictures/82fee127-0b6d-4fd8-a499-f066c5b426e5.jpg?aki_policy=large,,110248,Jamilah,2010-04-18,"Fort Lauderdale, Florida, United States",within an hour,100%,Capitol Hill,5,5,"Seattle, WA, United States",Capitol Hill,Seattle,WA,98102,Seattle,United States,47.61743,-122.32676,Apartment,Entire home/apt,4,1,2,2,650,259,,,500,100,2,20,2,30,t,143,0,2010-09-21,2016-09-24,96,10,10,10,10,10,9,f,1,0,1.3
26795,Lake Union Cottage - Shore and Cityview,https://a0.muscache.com/im/pictures/179416/54927caf_original.jpg?aki_policy=large,,114228,Kelly,2010-04-26,"Seattle, Washington, United States",within a few hours,100%,Eastlake,1,1,"Seattle, WA, United States",Cascade,Seattle,WA,98102,Seattle,United States,47.63953,-122.32838,Cottage,Entire home/apt,5,1,2,3,850,165,1140,4320,1500,0,2,20,3,730,t,62,3,2010-08-18,2019-08-02,93,9,9,9,9,10,9,f,1,0,0.56
30712,Cozy Ballard Apartment,https://a0.muscache.com/im/pictures/a78ae91e-2623-4828-b80a-2ab6b2d95adf.jpg?aki_policy=large,,107605,Al,2010-04-12,"Seattle, Washington, United States",within a few hours,80%,Ballard,1,1,"Seattle, WA, United States",Ballard,Seattle,WA,98117,Seattle,United States,47.6789,-122.38186,Apartment,Entire home/apt,3,1,1,1,,64,475,,0,50,1,0,3,90,t,114,23,2010-06-22,2019-09-03,88,9,8,10,10,10,10,f,1,0,1.01
41401,Home Away From Home - MIL Suite    ,https://a0.muscache.com/im/pictures/232475/24e34377_original.jpg?aki_policy=large,,180441,Pina,2010-07-25,"Seattle, Washington, United States",N/A,N/A,North Beacon Hill,1,1,"Seattle, WA, United States",Beacon Hill,Seattle,WA,98108,Seattle,United States,47.56035,-122.31402,House,Entire home/apt,4,1,1,2,,95,600,1800,350,,2,15,10,365,t,28,0,2010-08-26,2017-05-06,96,10,10,10,10,9,9,f,1,0,0.25
43373,Big sunny central house with view!,https://a0.muscache.com/im/pictures/e8296626-3145-4855-8315-5dee2357b69b.jpg?aki_policy=large,,189356,Michael,2010-08-02,"Seattle, Washington, United States",within an hour,100%,Wallingford,1,1,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.65055,-122.33059,House,Private room,2,1,1,1,,55,395,1389,0,15,1,10,2,30,t,266,50,2010-08-13,2019-09-11,95,10,10,10,10,10,10,t,1,1,2.4
47491,Tranquil Rooms at Maple Creek House,https://a0.muscache.com/im/pictures/271800/a9963a80_original.jpg?aki_policy=large,,215230,Carol,2010-08-28,"Seattle, Washington, United States",within a few hours,100%,Wedgewood,4,4,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98115,Seattle,United States,47.69246,-122.28688,House,Private room,1,1,1,1,,50,350,875,100,50,1,15,30,90,t,46,3,2010-09-13,2019-05-12,93,9,9,10,9,9,9,f,4,4,0.42
48848,green suite seattle - dog friendly,https://a0.muscache.com/im/pictures/600771/f9326fe1_original.jpg?aki_policy=large,,212404,Piper + Kent,2010-08-25,"Seattle, Washington, United States",within a day,100%,Windermere,2,2,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98115,Seattle,United States,47.67159,-122.25995,Guest suite,Entire home/apt,2,1,1,1,,80,,2200,0,125,2,25,5,365,t,42,4,2010-11-05,2019-06-30,99,10,10,10,10,10,10,f,2,0,0.39
52525,Maple Creek House in Wedgwood,https://a0.muscache.com/im/pictures/ce333810-d6f0-424d-8684-f8fa7e220a0f.jpg?aki_policy=large,,215230,Carol,2010-08-28,"Seattle, Washington, United States",within a few hours,100%,Wedgewood,4,4,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98115,Seattle,United States,47.6927,-122.28548,House,Private room,1,1,1,1,,45,350,895,100,50,1,12,3,90,t,30,1,2010-09-26,2018-12-27,91,9,9,10,10,10,10,f,4,4,0.27
58503,Spacious Private Daylight Basement Apartment,https://a0.muscache.com/im/pictures/53204526/aa747124_original.jpg?aki_policy=large,,157262,Gus & Chelsea,2010-07-02,"Seattle, Washington, United States",within an hour,100%,Phinney Ridge,1,1,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.67947,-122.3566,House,Entire home/apt,4,1,2,3,,75,475,1750,,35,2,15,2,30,t,246,38,2014-09-28,2019-09-11,94,9,9,10,10,10,9,t,1,0,4.05
63733,Seattle- Ballard Guestsuite -,https://a0.muscache.com/im/pictures/436792/3d39c3bd_original.jpg?aki_policy=large,,311363,Irmgard,2010-12-06,"Seattle, Washington, United States",within a few hours,100%,Ballard,1,1,"Seattle, WA, United States",Ballard,Seattle,WA,98107,Seattle,United States,47.67171,-122.36589,Apartment,Entire home/apt,2,1,1,1,,76,,,0,20,2,45,3,14,t,238,29,2011-04-23,2019-09-16,97,10,10,10,10,10,10,t,1,0,2.32
66540,Large Tranquil Room in Wedgwood,https://a0.muscache.com/im/pictures/1961795/7b404a77_original.jpg?aki_policy=large,,215230,Carol,2010-08-28,"Seattle, Washington, United States",within a few hours,100%,Wedgewood,4,4,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98115,Seattle,United States,47.69421,-122.28625,House,Private room,1,1,1,1,,50,325,950,100,35,1,15,3,90,t,26,2,2011-01-18,2019-06-09,96,10,9,10,10,9,10,f,4,4,0.25
66611,Study Den in Tranquil Setting,https://a0.muscache.com/im/pictures/c390a699-09ae-465c-9181-ebbccaf9325e.jpg?aki_policy=large,,215230,Carol,2010-08-28,"Seattle, Washington, United States",within a few hours,100%,Wedgewood,4,4,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98115,Seattle,United States,47.69282,-122.28534,House,Private room,1,1,1,2,,45,325,875,95,35,1,12,3,90,t,29,5,2011-01-27,2019-09-20,90,9,9,10,10,9,9,f,4,4,0.28
67270,"Light and airy, steps to the Lake.",https://a0.muscache.com/im/pictures/421046/ad3afee9_original.jpg?aki_policy=large,,331573,Jean,2010-12-31,"Seattle, Washington, United States",within a few hours,100%,Columbia City,1,1,"Seattle, WA, United States",Seward Park,Seattle,WA,98118,Seattle,United States,47.56168,-122.27212,House,Private room,2,1,1,1,,70,,,,,2,15,2,14,t,187,9,2011-03-09,2019-09-01,96,10,10,10,10,10,10,f,1,1,1.8
68508,180º View Private One-Bedroom W/Open Junior Suite,https://a0.muscache.com/im/pictures/105044055/d6fbdb33_original.jpg?aki_policy=large,,340192,Angela,2011-01-08,"Seattle, Washington, United States",within a day,100%,Capitol Hill,3,3,"Seattle, WA, United States",Capitol Hill,Seattle,WA,98102,Seattle,United States,47.63813,-122.32148,Apartment,Entire home/apt,4,1,1,1,1000,149,,,250,150,2,30,30,365,t,0,0,,,,,,,,,,f,3,0,
77149,Central quiet Capitol Hill condo,https://a0.muscache.com/im/pictures/667654/60a22029_original.jpg?aki_policy=large,,412854,Goldie,2011-02-27,"Seattle, Washington, United States",N/A,N/A,Broadway,1,1,"Seattle, WA, United States",Capitol Hill,Seattle,WA,98102,Seattle,United States,47.62585,-122.32004,Apartment,Entire home/apt,6,1,1,5,800,110,,1700,,50,2,10,5,1125,t,15,0,2011-04-30,2016-09-24,87,9,8,9,9,10,9,t,1,0,0.15
84271,Upper Floor Master Suite in Capitol Hill Home,https://a0.muscache.com/im/pictures/b7a07c33-a6ca-4859-a433-20f31a706912.jpg?aki_policy=large,,460561,Elizabeth,2011-03-24,"Seattle, Washington, United States",within an hour,100%,Stevens,0,0,"Seattle, WA, United States",Capitol Hill,Seattle,WA,98112,Seattle,United States,47.62434,-122.3037,Guest suite,Entire home/apt,2,1,1,1,,250,,,100,50,2,50,1,60,t,1,1,2019-07-07,2019-07-07,100,10,10,10,10,10,10,t,1,0,0.38
86185,West Seattle: Admiral calm & quiet,https://a0.muscache.com/im/pictures/620364/0058099c_original.jpg?aki_policy=large,,192355,Jane,2010-08-05,"Seattle, Washington, United States",within a day,70%,North Admiral,2,2,"Seattle, WA, United States",West Seattle,Seattle,WA,98116,Seattle,United States,47.58239,-122.39448,House,Private room,2,1,1,1,,75,500,1500,,,2,10,2,7,t,72,11,2011-05-09,2019-09-07,94,10,9,10,10,10,9,f,1,1,0.71
103075,Madison Valley 2 bedroom house,https://a0.muscache.com/im/pictures/691545/1e7249bf_original.jpg?aki_policy=large,,292521,Tami,2010-11-19,"Bainbridge Island, Washington, United States",N/A,N/A,Harrison/Denny-Blaine,0,0,"Seattle, WA, United States",Central Area,Seattle,WA,98112,Seattle,United States,47.62843,-122.28338,House,Entire home/apt,4,1,2,2,,160,815,2250,,,2,10,2,90,t,74,0,2011-05-12,2017-10-01,95,9,9,10,10,10,9,f,1,0,0.73
107884,West Seattle/Alki Beach House,https://a0.muscache.com/im/pictures/716217/9c72f1a5_original.jpg?aki_policy=large,,331494,Anne,2010-12-31,"Seattle, Washington, United States",within an hour,100%,North Admiral,1,1,"Seattle, WA, United States",West Seattle,Seattle,WA,98116,Seattle,United States,47.58,-122.40204,Apartment,Entire home/apt,4,1,1,2,,92,585,1750,300,30,2,20,2,365,t,156,56,2011-05-22,2019-09-10,98,10,10,10,10,10,10,t,1,0,1.54
107962,Haller Lake Restored Log Cabin,https://a0.muscache.com/im/pictures/743769/016fc58d_original.jpg?aki_policy=large,,112093,Roberta & Dan,2010-04-21,"Seattle, Washington, United States",within a few hours,100%,Haller Lake,1,1,"Seattle, WA, United States",Northgate,Seattle,WA,98133,Seattle,United States,47.71489,-122.33296,Guesthouse,Entire home/apt,2,1,1,1,,120,,,,,1,0,2,29,t,227,16,2011-06-26,2019-06-05,98,10,10,10,10,10,10,f,1,0,2.26
108765,Beacon Hill Cottage in the City,https://a0.muscache.com/im/pictures/ceb98b01-80c7-4b8f-b3fe-c16f489d0d65.jpg?aki_policy=large,,541908,Mary,2011-04-28,"Seattle, Washington, United States",within an hour,100%,North Beacon Hill,1,1,"Seattle, WA, United States",Beacon Hill,Seattle,WA,98108,Seattle,United States,47.55257,-122.30435,Guesthouse,Entire home/apt,2,1,1,1,,130,738,,0,15,1,0,2,30,t,62,5,2011-06-19,2019-09-21,100,10,10,10,10,10,10,t,1,0,0.62
116221,"Modern, Light-Filled Fremont Flat",https://a0.muscache.com/im/pictures/17918750/53040dce_original.jpg?aki_policy=large,,587302,Danni,2011-05-14,"Seattle, Washington, United States",within an hour,100%,Fremont,1,1,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.65437,-122.35745,Apartment,Entire home/apt,2,1,1,1,,120,895,2450,400,120,1,10,30,330,t,52,9,2011-06-21,2019-05-11,97,10,10,9,10,10,9,f,1,0,0.52
117165,Suite+Office in Gorgeous View Home,https://a0.muscache.com/im/pictures/1753332/95fba036_original.jpg?aki_policy=large,,559827,Judith,2011-05-05,"Seattle, Washington, United States",within a few hours,100%,Alki,2,2,"Seattle, WA, United States",West Seattle,Seattle,WA,98116,Seattle,United States,47.56874,-122.40649,House,Private room,2,1,1,1,,150,650,1985,200,75,1,20,2,90,t,134,7,2011-08-16,2019-09-18,99,10,10,10,10,10,10,f,2,1,1.36
119103,Teeny Tiny Guestyhouse!,https://a0.muscache.com/im/pictures/5941732/bd8f401a_original.jpg?aki_policy=large,,601600,Hal,2011-05-18,"Seattle, Washington, United States",within a few hours,100%,Fremont,2,2,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.65231,-122.35,Guesthouse,Entire home/apt,3,1,1,2,,79,,,250,,2,10,3,1125,t,383,41,2011-06-14,2019-09-08,98,10,10,10,10,10,10,f,2,0,3.8
132120,Mother-in-Law Apartment in Seattle,https://a0.muscache.com/im/pictures/c8179a21-b419-4e40-a1c5-e049aee9296f.jpg?aki_policy=large,,378445,Ralph,2011-02-05,"Seattle, Washington, United States",within a day,100%,Wallingford,1,1,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.66923,-122.33517,Apartment,Entire home/apt,4,1,1,1,,110,600,2000,,40,2,10,2,30,t,113,31,2011-06-20,2019-09-19,93,10,9,10,9,10,9,f,1,0,1.12
132160,"Green Lake Guest Suite, private apt",https://a0.muscache.com/im/pictures/841591/6d8a8d83_original.jpg?aki_policy=large,,558743,Natalie,2011-05-05,"Seattle, Washington, United States",within an hour,100%,Green Lake,2,2,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.68226,-122.34345,Guest suite,Entire home/apt,6,1,2,2,,150,,,400,120,3,20,3,10,t,274,37,2011-08-05,2019-09-11,97,10,10,10,10,10,9,f,2,0,2.77
134091,Vintage Capitol Hill - 1 Pkg Spot,https://a0.muscache.com/im/pictures/851503/51c4d691_original.jpg?aki_policy=large,,658155,Joe,2011-06-02,"Seattle, Washington, United States",within an hour,100%,Capitol Hill,17,17,"Seattle, WA, United States",Capitol Hill,Seattle,WA,98102,Seattle,United States,47.62142,-122.31642,Apartment,Entire home/apt,4,1,1,2,,170,,,0,150,2,10,7,180,t,175,32,2011-08-29,2019-09-04,97,10,10,10,10,10,10,t,13,0,1.78
136480,Bright Cheery Room in Seattle House,https://a0.muscache.com/im/pictures/8027db69-d889-4f06-92e9-db03e2ad5bd0.jpg?aki_policy=large,,539515,Shari,2011-04-27,"Seattle, Washington, United States",within a day,100%,Seward Park,2,2,"Seattle, WA, United States",Seward Park,Seattle,WA,98118,Seattle,United States,47.55508,-122.26455,House,Private room,2,1,1,1,,85,385,,,25,1,0,2,14,t,80,18,2013-08-07,2019-09-11,97,9,10,10,10,9,9,f,2,1,1.07
140331,Metrobilly Retreat,https://a0.muscache.com/im/pictures/949710/e6074f4f_original.jpg?aki_policy=large,,683617,Jana,2011-06-09,"Seattle, Washington, United States",within a day,90%,Harrison/Denny-Blaine,1,1,"Seattle, WA, United States",Central Area,Seattle,WA,98112,Seattle,United States,47.61894,-122.29212,House,Private room,2,1,1,1,,75,480,1800,,40,3,0,1,90,t,148,10,2011-06-21,2019-09-11,97,10,10,10,10,10,10,f,1,1,1.47
143580,N. Beacon Hill- Super Private Room,https://a0.muscache.com/im/pictures/936931/f1e6a489_original.jpg?aki_policy=large,,594315,Jana,2011-05-16,"Seattle, Washington, United States",within an hour,100%,North Beacon Hill,1,1,"Seattle, WA, United States",Beacon Hill,Seattle,WA,98144,Seattle,United States,47.58379,-122.31677,Condominium,Private room,2,0,1,1,120,89,,,100,,1,0,2,21,t,378,39,2011-06-23,2019-09-20,94,10,9,10,10,10,10,t,1,1,3.76
143704,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",https://a0.muscache.com/im/pictures/997830/239e73bf_original.jpg?aki_policy=large,,696788,Julie,2011-06-13,"Seattle, Washington, United States",within an hour,100%,Minor,1,1,"Seattle, WA, United States",Central Area,Seattle,WA,98122,Seattle,United States,47.61231,-122.29825,House,Entire home/apt,3,1,1,1,,68,575,2000,0,85,2,40,3,30,t,376,47,2011-06-28,2019-09-19,97,10,10,10,10,10,10,t,1,0,3.75
151545,Seattle 2.5 BR w Amazing Water Views | BlueStarBnB,https://a0.muscache.com/im/pictures/d220022c-c360-49eb-8a29-a5af28c99be5.jpg?aki_policy=large,,306615,Tara,2010-12-01,"Los Angeles, California, United States",within a few hours,100%,Portage Bay,7,7,"Seattle, WA, United States",Capitol Hill,Seattle,WA,98102,Seattle,United States,47.65008,-122.31931,Condominium,Entire home/apt,6,1.5,3,3,1200,199,1000,3000,750,150,4,0,7,1125,t,35,23,2011-07-18,2019-09-08,99,10,9,10,10,10,10,t,3,0,0.35
170273,Stroll to Stunning Views from a Historic Home,"https://a0.muscache.com/4ea/air/v2//pictures/c8a0a08a-597f-4705-8f9f-286f23b06116.jpg?t=r:w1200-h720-sfit,e:fjpg-c85",,804996,Nadine,2011-07-11,"Seattle, Washington, United States",within an hour,100%,Lower Queen Anne,1,1,"Seattle, WA, United States",Queen Anne,Seattle,WA,98119,Seattle,United States,47.62767,-122.35861,House,Entire home/apt,7,2.5,3,5,,750,,,500,175,6,25,2,60,t,240,50,2011-07-25,2019-09-16,100,10,10,10,10,10,10,f,1,0,2.41
186328,"Beautiful Update Craftsman 3BR, 3BA",https://a0.muscache.com/im/pictures/1191758/28080fb7_original.jpg?aki_policy=large,,895223,Andrew,2011-07-30,"Seattle, Washington, United States",N/A,N/A,Queen Anne,1,1,"Seattle, WA, United States",Queen Anne,Seattle,WA,98109,Seattle,United States,47.64413,-122.3563,House,Entire home/apt,6,3,3,2,,250,1900,,100,100,5,100,3,15,t,1,0,2013-11-08,2013-11-08,,,,,,,,f,1,0,0.01
