id,name,picture_url,host_id,host_name,host_since,host_response_time,host_response_rate,host_listings_count,neighbourhood_group_cleansed,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,monthly_price 
15108,Green Lake Private Ground Floor BR,https://a0.muscache.com/im/pictures/26318647/898657a2_original.jpg?aki_policy=large,39377,Bob,2009-09-18,within a day,100%,3.0,Other neighborhoods,Seattle,WA,98103,47.68827,-122.33586000000001,House,Private room,6,1.0,3.0,3.0,140.0,60,375.0,1000.0,0.0,10.0,1,1,730,90.0,9.0,9.0,10.0,9.0,3,0.71,1000.0
15749,Green Lake guest room with active family,https://a0.muscache.com/im/pictures/f5308508-0c47-42f6-a826-51f0cf7d917e.jpg?aki_policy=large,61636,Angela,2009-12-09,within an hour,100%,2.0,Other neighborhoods,Seattle,WA,98115,47.68407,-122.32648999999999,House,Private room,1,1.0,1.0,1.0,unknown,32,385.0,950.0,500.0,20.0,1,24,140,95.0,9.0,8.0,10.0,9.0,2,0.21,950.0
17951,"West Seattle, The Starlight Studio",https://a0.muscache.com/im/pictures/c48bc0ee-ea14-4cda-a68b-29fd14c3000a.jpg?aki_policy=large,33360,Laura,2009-08-23,within an hour,100%,8.0,West Seattle,Seattle,WA,98136,47.55538,-122.38622,Guest suite,Entire home/apt,2,1.0,0.0,1.0,unknown,105,630.0,2500.0,300.0,50.0,2,2,120,98.0,10.0,10.0,10.0,10.0,7,1.01,2500.0
19619,Amazing Puget Sound Views  SALE 9/22,https://a0.muscache.com/im/pictures/868235ae-7350-4e40-9357-3ec3ba350a51.jpg?aki_policy=large,74305,Seattle Oasis,2010-01-27,within an hour,98%,57.0,Downtown,Seattle,WA,98121,47.613620000000004,-122.34706000000001,Condominium,Entire home/apt,4,1.0,1.0,1.0,unknown,145,unknown,unknown,500.0,107.0,1,2,365,97.0,10.0,10.0,10.0,9.0,53,0.93,unknown
20927,Cottage in the Heart of Ballard,https://a0.muscache.com/im/pictures/6a637b4f-54d4-4806-b64d-9d180f4a54ad.jpg?aki_policy=large,79450,Brad / Liz,2010-02-09,within an hour,100%,2.0,Ballard,Seattle,WA,98107,47.67334,-122.39511999999999,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,400.0,89,549.0,unknown,0.0,20.0,2,2,28,97.0,10.0,9.0,10.0,10.0,2,4.96,unknown
20928,Victorian in the Heart of Ballard,https://a0.muscache.com/im/pictures/966ba8af-4a75-43f8-b2e8-0ce909af187e.jpg?aki_policy=large,79450,Brad / Liz,2010-02-09,within an hour,100%,2.0,Ballard,Seattle,WA,98107,47.67361,-122.3938,Guest suite,Entire home/apt,2,1.0,1.0,1.0,unknown,79,499.0,unknown,0.0,20.0,1,2,21,97.0,10.0,10.0,10.0,10.0,2,6.04,unknown
23192,Large Modern Unit - 3 blocks from the light-rail,https://a0.muscache.com/im/pictures/34f5bb07-3f65-4c1b-8e66-dcedabeeb9da.jpg?aki_policy=large,90437,Ian,2010-03-09,within an hour,100%,7.0,Capitol Hill,Seattle,WA,98102,47.622370000000004,-122.31591999999999,Apartment,Entire home/apt,5,1.0,1.0,3.0,unknown,200,unknown,unknown,300.0,80.0,2,3,730,97.0,10.0,10.0,10.0,10.0,4,1.55,unknown
24212,Stylish Oasis in a Prime Location in Belltown,"https://a0.muscache.com/4ea/air/v2//pictures/31525217-642e-48cd-a0e1-d68b5b1debf3.jpg?t=r:w1200-h720-sfit,e:fjpg-c85",74305,Seattle Oasis,2010-01-27,within an hour,98%,57.0,Downtown,Seattle,WA,98121,47.6154,-122.34866000000001,Condominium,Entire home/apt,6,1.0,2.0,2.0,710.0,157,unknown,unknown,500.0,130.0,6,1,365,94.0,10.0,10.0,10.0,9.0,53,0.81,unknown
25002,"Beautiful, Private Spot in Quiet Ballard",https://a0.muscache.com/im/pictures/491561/cf5270cc_original.jpg?aki_policy=large,102684,Amanda,2010-04-02,within an hour,100%,1.0,Ballard,Seattle,WA,98117,47.67941,-122.37053999999999,Guest suite,Entire home/apt,4,1.0,1.0,2.0,unknown,70,525.0,1800.0,0.0,15.0,2,2,365,98.0,10.0,10.0,10.0,10.0,1,6.62,1800.0
26116,2-bedroom Capitol Hill Pied-à-terre,https://a0.muscache.com/im/pictures/82fee127-0b6d-4fd8-a499-f066c5b426e5.jpg?aki_policy=large,110248,Jamilah,2010-04-18,within an hour,100%,5.0,Capitol Hill,Seattle,WA,98102,47.61743,-122.32676000000001,Apartment,Entire home/apt,4,1.0,2.0,2.0,650.0,259,unknown,unknown,500.0,100.0,2,2,30,96.0,10.0,10.0,10.0,9.0,1,1.3,unknown
26795,Lake Union Cottage - Shore and Cityview,https://a0.muscache.com/im/pictures/179416/54927caf_original.jpg?aki_policy=large,114228,Kelly,2010-04-26,within a few hours,100%,1.0,Cascade,Seattle,WA,98102,47.63953,-122.32838000000001,Cottage,Entire home/apt,5,1.0,2.0,3.0,850.0,165,1140.0,4320.0,1500.0,0.0,2,3,730,93.0,9.0,9.0,10.0,9.0,1,0.56,4320.0
30712,Cozy Ballard Apartment,https://a0.muscache.com/im/pictures/a78ae91e-2623-4828-b80a-2ab6b2d95adf.jpg?aki_policy=large,107605,Al,2010-04-12,within a few hours,80%,1.0,Ballard,Seattle,WA,98117,47.6789,-122.38186,Apartment,Entire home/apt,3,1.0,1.0,1.0,unknown,64,475.0,unknown,0.0,50.0,1,3,90,88.0,9.0,8.0,10.0,10.0,1,1.01,unknown
43373,Big sunny central house with view!,https://a0.muscache.com/im/pictures/e8296626-3145-4855-8315-5dee2357b69b.jpg?aki_policy=large,189356,Michael,2010-08-02,within an hour,100%,1.0,Other neighborhoods,Seattle,WA,98103,47.65055,-122.33058999999999,House,Private room,2,1.0,1.0,1.0,unknown,55,395.0,1389.0,0.0,15.0,1,2,30,95.0,10.0,10.0,10.0,10.0,1,2.4,1389.0
47491,Tranquil Rooms at Maple Creek House,https://a0.muscache.com/im/pictures/271800/a9963a80_original.jpg?aki_policy=large,215230,Carol,2010-08-28,within a few hours,100%,4.0,Other neighborhoods,Seattle,WA,98115,47.69246,-122.28688000000001,House,Private room,1,1.0,1.0,1.0,unknown,50,350.0,875.0,100.0,50.0,1,30,90,93.0,9.0,9.0,9.0,9.0,4,0.42,875.0
48848,green suite seattle - dog friendly,https://a0.muscache.com/im/pictures/600771/f9326fe1_original.jpg?aki_policy=large,212404,Piper + Kent,2010-08-25,within a day,100%,2.0,Other neighborhoods,Seattle,WA,98115,47.67159,-122.25995,Guest suite,Entire home/apt,2,1.0,1.0,1.0,unknown,80,unknown,2200.0,0.0,125.0,2,5,365,99.0,10.0,10.0,10.0,10.0,2,0.39,2200.0
52525,Maple Creek House in Wedgwood,https://a0.muscache.com/im/pictures/ce333810-d6f0-424d-8684-f8fa7e220a0f.jpg?aki_policy=large,215230,Carol,2010-08-28,within a few hours,100%,4.0,Other neighborhoods,Seattle,WA,98115,47.6927,-122.28548,House,Private room,1,1.0,1.0,1.0,unknown,45,350.0,895.0,100.0,50.0,1,3,90,91.0,9.0,9.0,10.0,10.0,4,0.27,895.0
58503,Spacious Private Daylight Basement Apartment,https://a0.muscache.com/im/pictures/53204526/aa747124_original.jpg?aki_policy=large,157262,Gus & Chelsea,2010-07-02,within an hour,100%,1.0,Other neighborhoods,Seattle,WA,98103,47.67947,-122.3566,House,Entire home/apt,4,1.0,2.0,3.0,unknown,75,475.0,1750.0,0.0,35.0,2,2,30,94.0,9.0,9.0,10.0,9.0,1,4.05,1750.0
63733,Seattle- Ballard Guestsuite -,https://a0.muscache.com/im/pictures/436792/3d39c3bd_original.jpg?aki_policy=large,311363,Irmgard,2010-12-06,within a few hours,100%,1.0,Ballard,Seattle,WA,98107,47.67171,-122.36589,Apartment,Entire home/apt,2,1.0,1.0,1.0,unknown,76,unknown,unknown,0.0,20.0,2,3,14,97.0,10.0,10.0,10.0,10.0,1,2.32,unknown
66540,Large Tranquil Room in Wedgwood,https://a0.muscache.com/im/pictures/1961795/7b404a77_original.jpg?aki_policy=large,215230,Carol,2010-08-28,within a few hours,100%,4.0,Other neighborhoods,Seattle,WA,98115,47.69421,-122.28625,House,Private room,1,1.0,1.0,1.0,unknown,50,325.0,950.0,100.0,35.0,1,3,90,96.0,10.0,9.0,9.0,10.0,4,0.25,950.0
66611,Study Den in Tranquil Setting,https://a0.muscache.com/im/pictures/c390a699-09ae-465c-9181-ebbccaf9325e.jpg?aki_policy=large,215230,Carol,2010-08-28,within a few hours,100%,4.0,Other neighborhoods,Seattle,WA,98115,47.692820000000005,-122.28533999999999,House,Private room,1,1.0,1.0,2.0,unknown,45,325.0,875.0,95.0,35.0,1,3,90,90.0,9.0,9.0,9.0,9.0,4,0.28,875.0
77149,Central quiet Capitol Hill condo,https://a0.muscache.com/im/pictures/667654/60a22029_original.jpg?aki_policy=large,412854,Goldie,2011-02-27,unknown,unknown,1.0,Capitol Hill,Seattle,WA,98102,47.62585,-122.32003999999999,Apartment,Entire home/apt,6,1.0,1.0,5.0,800.0,110,unknown,1700.0,0.0,50.0,2,5,1125,87.0,9.0,8.0,10.0,9.0,1,0.15,1700.0
84271,Upper Floor Master Suite in Capitol Hill Home,https://a0.muscache.com/im/pictures/b7a07c33-a6ca-4859-a433-20f31a706912.jpg?aki_policy=large,460561,Elizabeth,2011-03-24,within an hour,100%,0.0,Capitol Hill,Seattle,WA,98112,47.624340000000004,-122.3037,Guest suite,Entire home/apt,2,1.0,1.0,1.0,unknown,250,unknown,unknown,100.0,50.0,2,1,60,100.0,10.0,10.0,10.0,10.0,1,0.38,unknown
107884,West Seattle/Alki Beach House,https://a0.muscache.com/im/pictures/716217/9c72f1a5_original.jpg?aki_policy=large,331494,Anne,2010-12-31,within an hour,100%,1.0,West Seattle,Seattle,WA,98116,47.58,-122.40203999999999,Apartment,Entire home/apt,4,1.0,1.0,2.0,unknown,92,585.0,1750.0,300.0,30.0,2,2,365,98.0,10.0,10.0,10.0,10.0,1,1.54,1750.0
108765,Beacon Hill Cottage in the City,https://a0.muscache.com/im/pictures/ceb98b01-80c7-4b8f-b3fe-c16f489d0d65.jpg?aki_policy=large,541908,Mary,2011-04-28,within an hour,100%,1.0,Beacon Hill,Seattle,WA,98108,47.55257,-122.30435,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,unknown,130,738.0,unknown,0.0,15.0,1,2,30,100.0,10.0,10.0,10.0,10.0,1,0.62,unknown
116221,"Modern, Light-Filled Fremont Flat",https://a0.muscache.com/im/pictures/17918750/53040dce_original.jpg?aki_policy=large,587302,Danni,2011-05-14,within an hour,100%,1.0,Other neighborhoods,Seattle,WA,98103,47.65437,-122.35745,Apartment,Entire home/apt,2,1.0,1.0,1.0,unknown,120,895.0,2450.0,400.0,120.0,1,30,330,97.0,10.0,10.0,10.0,9.0,1,0.52,2450.0
117165,Suite+Office in Gorgeous View Home,https://a0.muscache.com/im/pictures/1753332/95fba036_original.jpg?aki_policy=large,559827,Judith,2011-05-05,within a few hours,100%,2.0,West Seattle,Seattle,WA,98116,47.568740000000005,-122.40648999999999,House,Private room,2,1.0,1.0,1.0,unknown,150,650.0,1985.0,200.0,75.0,1,2,90,99.0,10.0,10.0,10.0,10.0,2,1.36,1985.0
132120,Mother-in-Law Apartment in Seattle,https://a0.muscache.com/im/pictures/c8179a21-b419-4e40-a1c5-e049aee9296f.jpg?aki_policy=large,378445,Ralph,2011-02-05,within a day,100%,1.0,Other neighborhoods,Seattle,WA,98103,47.66923,-122.33516999999999,Apartment,Entire home/apt,4,1.0,1.0,1.0,unknown,110,600.0,2000.0,0.0,40.0,2,2,30,93.0,10.0,9.0,10.0,9.0,1,1.12,2000.0
132160,"Green Lake Guest Suite, private apt",https://a0.muscache.com/im/pictures/841591/6d8a8d83_original.jpg?aki_policy=large,558743,Natalie,2011-05-05,within an hour,100%,2.0,Other neighborhoods,Seattle,WA,98103,47.68226,-122.34345,Guest suite,Entire home/apt,6,1.0,2.0,2.0,unknown,150,unknown,unknown,400.0,120.0,3,3,10,97.0,10.0,10.0,10.0,9.0,2,2.77,unknown
134091,Vintage Capitol Hill - 1 Pkg Spot,https://a0.muscache.com/im/pictures/851503/51c4d691_original.jpg?aki_policy=large,658155,Joe,2011-06-02,within an hour,100%,17.0,Capitol Hill,Seattle,WA,98102,47.62142,-122.31642,Apartment,Entire home/apt,4,1.0,1.0,2.0,unknown,170,unknown,unknown,0.0,150.0,2,7,180,97.0,10.0,10.0,10.0,10.0,13,1.78,unknown
136480,Bright Cheery Room in Seattle House,https://a0.muscache.com/im/pictures/8027db69-d889-4f06-92e9-db03e2ad5bd0.jpg?aki_policy=large,539515,Shari,2011-04-27,within a day,100%,2.0,Seward Park,Seattle,WA,98118,47.55508,-122.26455,House,Private room,2,1.0,1.0,1.0,unknown,85,385.0,unknown,0.0,25.0,1,2,14,97.0,9.0,10.0,9.0,9.0,2,1.07,unknown
140331,Metrobilly Retreat,https://a0.muscache.com/im/pictures/949710/e6074f4f_original.jpg?aki_policy=large,683617,Jana,2011-06-09,within a day,90%,1.0,Central Area,Seattle,WA,98112,47.61894,-122.29212,House,Private room,2,1.0,1.0,1.0,unknown,75,480.0,1800.0,0.0,40.0,3,1,90,97.0,10.0,10.0,10.0,10.0,1,1.47,1800.0
143704,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",https://a0.muscache.com/im/pictures/997830/239e73bf_original.jpg?aki_policy=large,696788,Julie,2011-06-13,within an hour,100%,1.0,Central Area,Seattle,WA,98122,47.61231,-122.29825,House,Entire home/apt,3,1.0,1.0,1.0,unknown,68,575.0,2000.0,0.0,85.0,2,3,30,97.0,10.0,10.0,10.0,10.0,1,3.75,2000.0
151545,Seattle 2.5 BR w Amazing Water Views | BlueStarBnB,https://a0.muscache.com/im/pictures/d220022c-c360-49eb-8a29-a5af28c99be5.jpg?aki_policy=large,306615,Tara,2010-12-01,within a few hours,100%,7.0,Capitol Hill,Seattle,WA,98102,47.650079999999996,-122.31931000000002,Condominium,Entire home/apt,6,1.5,3.0,3.0,1200.0,199,1000.0,3000.0,750.0,150.0,4,7,1125,99.0,10.0,9.0,10.0,10.0,3,0.35,3000.0
170273,Stroll to Stunning Views from a Historic Home,"https://a0.muscache.com/4ea/air/v2//pictures/c8a0a08a-597f-4705-8f9f-286f23b06116.jpg?t=r:w1200-h720-sfit,e:fjpg-c85",804996,Nadine,2011-07-11,within an hour,100%,1.0,Queen Anne,Seattle,WA,98119,47.62767,-122.35861000000001,House,Entire home/apt,7,2.5,3.0,5.0,unknown,750,unknown,unknown,500.0,175.0,6,2,60,100.0,10.0,10.0,10.0,10.0,1,2.41,unknown
189156,Sweet Studio -Water & Mountain view,https://a0.muscache.com/im/pictures/21967374/872904e0_original.jpg?aki_policy=large,179030,Harriet,2010-07-24,within an hour,100%,1.0,West Seattle,Seattle,WA,98136,47.545429999999996,-122.39783999999999,Apartment,Entire home/apt,2,1.0,0.0,1.0,unknown,78,488.0,1650.0,300.0,50.0,2,2,60,96.0,10.0,10.0,10.0,10.0,1,3.09,1650.0
190984,Home in Hillman City - large studio & free parking,https://a0.muscache.com/im/pictures/33814964/b42523bb_original.jpg?aki_policy=large,923095,Denise,2011-08-04,within an hour,100%,2.0,Rainier Valley,Seattle,WA,98118,47.55284,-122.27788999999999,Apartment,Entire home/apt,2,1.0,1.0,1.0,unknown,80,700.0,2200.0,150.0,50.0,2,2,28,92.0,10.0,10.0,9.0,9.0,2,2.41,2200.0
192666,"Classy,Private, Comfy! W Seattle-A Place To Relax!",https://a0.muscache.com/im/pictures/e013cb3b-8595-417f-8074-764dc98d3b4d.jpg?aki_policy=large,933468,Vidya,2011-08-07,within an hour,100%,2.0,West Seattle,Seattle,WA,98116,47.582159999999995,-122.39386999999999,Townhouse,Private room,2,1.0,1.0,1.0,unknown,59,unknown,unknown,500.0,30.0,1,1,60,100.0,10.0,10.0,10.0,10.0,2,2.31,unknown
193836,Spacious Suite Near Lincoln Park in West Seattle,https://a0.muscache.com/im/pictures/80098d9b-83f6-4203-b485-387f24cc5f38.jpg?aki_policy=large,583579,Amy,2011-05-12,within an hour,100%,1.0,West Seattle,Seattle,WA,98136,47.5357,-122.38631000000001,House,Entire home/apt,5,1.0,1.0,2.0,unknown,89,575.0,1800.0,200.0,75.0,2,1,180,94.0,10.0,10.0,10.0,10.0,1,1.9,1800.0
202251,Seattle Phinney Ridge Ballard,https://a0.muscache.com/im/pictures/47607412/7dde2470_original.jpg?aki_policy=large,601266,Tim And Pam,2011-05-18,within an hour,100%,1.0,Other neighborhoods,Seattle,WA,98117,47.6777,-122.35983999999999,House,Entire home/apt,6,1.0,3.0,0.0,unknown,175,1200.0,4200.0,500.0,175.0,4,30,150,89.0,9.0,9.0,9.0,9.0,1,0.38,4200.0
210316,"""THE 5-STAR HOUSE""  # 9",https://a0.muscache.com/im/pictures/32440873/920e3397_original.jpg?aki_policy=large,2438665,Flor,2012-05-22,within an hour,100%,4.0,Other neighborhoods,Seattle,WA,98117,47.6999,-122.36613999999999,House,Private room,2,4.0,1.0,1.0,unknown,95,500.0,2100.0,100.0,50.0,2,3,365,95.0,9.0,10.0,9.0,10.0,4,1.13,2100.0
215882,Relaxing Garden Cottage w/ Hot Tub!,https://a0.muscache.com/im/pictures/440cee01-b4c9-4174-9ae9-b65fbdb54cf2.jpg?aki_policy=large,971336,Julie,2011-08-15,within an hour,100%,1.0,Rainier Valley,Seattle,WA,98118,47.5613,-122.28121999999999,Bungalow,Entire home/apt,2,1.0,1.0,1.0,unknown,80,unknown,unknown,125.0,75.0,2,2,6,98.0,10.0,10.0,10.0,10.0,1,3.82,unknown
217142,LOCATION! Family SPACIOUS 2BD/2BA PRKG FREE WiFi,https://a0.muscache.com/im/pictures/2113999/5f0fcb98_original.jpg?aki_policy=large,8243075,Lori,2013-08-18,within a few hours,94%,4.0,Downtown,Seattle,WA,98121,47.61534,-122.34791000000001,Condominium,Entire home/apt,7,2.0,2.0,4.0,unknown,200,1530.0,4900.0,200.0,115.0,1,2,365,95.0,9.0,10.0,10.0,9.0,4,1.67,4900.0
218741,"Private, Large Room+Bath in Ballard",https://a0.muscache.com/im/pictures/c624c6dc-f1a2-407e-bbf6-de6050388aba.jpg?aki_policy=large,468703,Corinne & Tom,2011-03-28,within an hour,100%,2.0,Ballard,Seattle,WA,98117,47.68231,-122.37875,House,Private room,3,1.0,1.0,1.0,183.0,90,567.0,unknown,200.0,25.0,2,1,21,96.0,10.0,10.0,10.0,10.0,2,1.49,unknown
219532,"Fun home in Funky Fremont, Seattle",https://a0.muscache.com/im/pictures/2035994/663f21f5_original.jpg?aki_policy=large,1037115,Rose And Glen,2011-08-30,within an hour,100%,11.0,Other neighborhoods,Seattle,WA,98107,47.65692,-122.36093000000001,House,Entire home/apt,6,1.5,3.0,4.0,unknown,275,1850.0,2850.0,400.0,80.0,4,2,100,94.0,10.0,10.0,10.0,9.0,5,0.97,2850.0
224763,"Location! Sleeps 4 WiFi  Luxurious, Parking Inc!",https://a0.muscache.com/im/pictures/18424394/c219028d_original.jpg?aki_policy=large,8243075,Lori,2013-08-18,within a few hours,94%,4.0,Downtown,Seattle,WA,98121,47.613859999999995,-122.34879,Condominium,Entire home/apt,4,1.0,1.0,1.0,unknown,139,unknown,3200.0,300.0,95.0,1,1,365,94.0,10.0,10.0,10.0,9.0,4,1.1,3200.0
226495,"Fun apartment in Ballard, Seattle",https://a0.muscache.com/im/pictures/6539250/7a1b99b1_original.jpg?aki_policy=large,1037115,Rose And Glen,2011-08-30,within an hour,100%,11.0,Ballard,Seattle,WA,98117,47.689659999999996,-122.36838999999999,Apartment,Entire home/apt,6,1.0,2.0,2.0,unknown,170,1140.0,1850.0,300.0,70.0,2,2,120,90.0,9.0,10.0,10.0,9.0,5,1.02,1850.0
226536,Serene Room in Sunny Cottage near Discovery Park,https://a0.muscache.com/im/pictures/2103122/eb9bced4_original.jpg?aki_policy=large,209571,Cheryl,2010-08-22,within an hour,100%,2.0,Magnolia,Seattle,WA,98199,47.6612,-122.40145,Cottage,Private room,2,1.0,1.0,1.0,unknown,46,320.0,825.0,100.0,15.0,1,1,21,95.0,9.0,10.0,10.0,9.0,2,2.09,825.0
226677,Sunny Parisian beauty room w/ comfy bed,https://a0.muscache.com/im/pictures/2398bb9e-6f2e-424a-9dd5-7da8751191bf.jpg?aki_policy=large,30559,Angielena,2009-08-09,within a few hours,100%,8.0,Other neighborhoods,Seattle,WA,98108,47.549690000000005,-122.31868,Apartment,Private room,2,3.0,1.0,1.0,170.0,55,400.0,1400.0,100.0,10.0,1,2,30,96.0,10.0,10.0,9.0,10.0,8,1.54,1400.0
229990,Alki Beach 1/2 block to beach,https://a0.muscache.com/im/pictures/2109232/40fe94e8_original.jpg?aki_policy=large,1201633,Wayne,2011-09-23,within an hour,100%,2.0,West Seattle,Seattle,WA,98116,47.57823,-122.41181,House,Entire home/apt,9,3.0,2.0,5.0,1400.0,160,unknown,unknown,200.0,75.0,6,1,28,100.0,10.0,10.0,10.0,10.0,1,0.53,unknown
241016,Scandinavian Queen Anne Home,https://a0.muscache.com/im/pictures/70d8519a-b181-4fbb-b7c0-d1300fa677bd.jpg?aki_policy=large,956883,Maija,2011-08-11,within a few hours,100%,3.0,Queen Anne,Seattle,WA,98119,47.64329,-122.37581999999999,House,Entire home/apt,5,1.0,3.0,3.0,unknown,215,unknown,unknown,0.0,20.0,2,2,60,95.0,10.0,10.0,10.0,9.0,3,1.56,unknown
241032,Stylish Queen Anne Apartment,https://a0.muscache.com/im/pictures/67560560/cfe47d69_original.jpg?aki_policy=large,956883,Maija,2011-08-11,within a few hours,100%,3.0,Queen Anne,Seattle,WA,98119,47.63629,-122.37103,Apartment,Entire home/apt,4,1.0,1.0,1.0,unknown,165,unknown,unknown,0.0,10.0,1,3,365,94.0,10.0,10.0,9.0,9.0,3,3.09,unknown
243885,Charming Urban Garden Bungalow,https://a0.muscache.com/im/pictures/2301523/d0dfa9f8_original.jpg?aki_policy=large,1279637,Melody And Justin,2011-10-11,unknown,unknown,1.0,Other neighborhoods,Seattle,WA,98105,47.67058,-122.32363000000001,House,Entire home/apt,5,1.0,2.0,2.0,850.0,125,600.0,unknown,100.0,100.0,5,7,30,95.0,10.0,10.0,10.0,10.0,1,0.04,unknown
251922,"Sleepy North Admiral, West Seattle",https://a0.muscache.com/im/pictures/2492843/ddda795c_original.jpg?aki_policy=large,512084,Edwin,2011-04-15,within an hour,100%,1.0,West Seattle,Seattle,WA,98116,47.58143,-122.39411000000001,House,Entire home/apt,4,1.0,2.0,2.0,unknown,85,558.0,2140.0,250.0,90.0,2,1,65,94.0,9.0,9.0,10.0,9.0,1,2.45,2140.0
