id,host_id,host_name,host_since,host_response_rate,host_listings_count,neighbourhood_group_cleansed,latitude,longitude,bathrooms,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,monthly_price ,bedrooms,beds,accommodates,zipcode_98052,zipcode_98101,zipcode_98102,zipcode_98103,zipcode_98104,zipcode_98104-4417,zipcode_98105,zipcode_98106,zipcode_98107,zipcode_98108,zipcode_98109,zipcode_98112,zipcode_98115,zipcode_98116,zipcode_98117,zipcode_98118,zipcode_98119,zipcode_98121,zipcode_98122,zipcode_98125,zipcode_98126,zipcode_98133,zipcode_98134,zipcode_98136,zipcode_98144,zipcode_98146,zipcode_98155,zipcode_98168,zipcode_98177,zipcode_98178,zipcode_98199,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_response_time_unknown,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour
15749,61636,Angela,12/9/09,100%,2,Other neighborhoods,47.68407,-122.32649,1,,32,385,950,500,20,1,24,140,95,9,8,10,9,2,0.21,950,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17951,33360,Laura,8/23/09,100%,8,West Seattle,47.55538,-122.38622,1,,105,630,2500,300,50,2,2,120,98,10,10,10,10,7,1.01,2500,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19619,74305,Seattle Oasis,1/27/10,98%,57,Downtown,47.61362,-122.34706,1,,145,unknown,unknown,500,107,1,2,365,97,10,10,10,9,53,0.93,unknown,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20927,79450,Brad / Liz,2/9/10,100%,2,Ballard,47.67334,-122.39512,1,400,89,549,unknown,0,20,2,2,28,97,10,9,10,10,2,4.96,unknown,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20928,79450,Brad / Liz,2/9/10,100%,2,Ballard,47.67361,-122.3938,1,,79,499,unknown,0,20,1,2,21,97,10,10,10,10,2,6.04,unknown,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23192,90437,Ian,3/9/10,100%,7,Capitol Hill,47.62237,-122.31592,1,,200,unknown,unknown,300,80,2,3,730,97,10,10,10,10,4,1.55,unknown,1,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24212,74305,Seattle Oasis,1/27/10,98%,57,Downtown,47.6154,-122.34866,1,710,157,unknown,unknown,500,130,6,1,365,94,10,10,10,9,53,0.81,unknown,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25002,102684,Amanda,4/2/10,100%,1,Ballard,47.67941,-122.37054,1,,70,525,1800,0,15,2,2,365,98,10,10,10,10,1,6.62,1800,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26116,110248,Jamilah,4/18/10,100%,5,Capitol Hill,47.61743,-122.32676,1,650,259,unknown,unknown,500,100,2,2,30,96,10,10,10,9,1,1.3,unknown,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26795,114228,Kelly,4/26/10,100%,1,Cascade,47.63953,-122.32838,1,850,165,1140,4320,1500,0,2,3,730,93,9,9,10,9,1,0.56,4320,2,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30712,107605,Al,4/12/10,80%,1,Ballard,47.6789,-122.38186,1,,64,475,unknown,0,50,1,3,90,88,9,8,10,10,1,1.01,unknown,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43373,189356,Michael,8/2/10,100%,1,Other neighborhoods,47.65055,-122.33059,1,,55,395,1389,0,15,1,2,30,95,10,10,10,10,1,2.4,1389,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
47491,215230,Carol,8/28/10,100%,4,Other neighborhoods,47.69246,-122.28688,1,,50,350,875,100,50,1,30,90,93,9,9,9,9,4,0.42,875,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48848,212404,Piper + Kent,8/25/10,100%,2,Other neighborhoods,47.67159,-122.25995,1,,80,unknown,2200,0,125,2,5,365,99,10,10,10,10,2,0.39,2200,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52525,215230,Carol,8/28/10,100%,4,Other neighborhoods,47.6927,-122.28548,1,,45,350,895,100,50,1,3,90,91,9,9,10,10,4,0.27,895,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
58503,157262,Gus & Chelsea,7/2/10,100%,1,Other neighborhoods,47.67947,-122.3566,1,,75,475,1750,0,35,2,2,30,94,9,9,10,9,1,4.05,1750,2,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63733,311363,Irmgard,12/6/10,100%,1,Ballard,47.67171,-122.36589,1,,76,unknown,unknown,0,20,2,3,14,97,10,10,10,10,1,2.32,unknown,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66540,215230,Carol,8/28/10,100%,4,Other neighborhoods,47.69421,-122.28625,1,,50,325,950,100,35,1,3,90,96,10,9,9,10,4,0.25,950,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
66611,215230,Carol,8/28/10,100%,4,Other neighborhoods,47.69282,-122.28534,1,,45,325,875,95,35,1,3,90,90,9,9,9,9,4,0.28,875,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
77149,412854,Goldie,2/27/11,unknown,1,Capitol Hill,47.62585,-122.32004,1,800,110,unknown,1700,0,50,2,5,1125,87,9,8,10,9,1,0.15,1700,1,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84271,460561,Elizabeth,3/24/11,100%,0,Capitol Hill,47.62434,-122.3037,1,,250,unknown,unknown,100,50,2,1,60,100,10,10,10,10,1,0.38,unknown,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107884,331494,Anne,12/31/10,100%,1,West Seattle,47.58,-122.40204,1,,92,585,1750,300,30,2,2,365,98,10,10,10,10,1,1.54,1750,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108765,541908,Mary,4/28/11,100%,1,Beacon Hill,47.55257,-122.30435,1,,130,738,unknown,0,15,1,2,30,100,10,10,10,10,1,0.62,unknown,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116221,587302,Danni,5/14/11,100%,1,Other neighborhoods,47.65437,-122.35745,1,,120,895,2450,400,120,1,30,330,97,10,10,10,9,1,0.52,2450,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117165,559827,Judith,5/5/11,100%,2,West Seattle,47.56874,-122.40649,1,,150,650,1985,200,75,1,2,90,99,10,10,10,10,2,1.36,1985,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
132120,378445,Ralph,2/5/11,100%,1,Other neighborhoods,47.66923,-122.33517,1,,110,600,2000,0,40,2,2,30,93,10,9,10,9,1,1.12,2000,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132160,558743,Natalie,5/5/11,100%,2,Other neighborhoods,47.68226,-122.34345,1,,150,unknown,unknown,400,120,3,3,10,97,10,10,10,9,2,2.77,unknown,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134091,658155,Joe,6/2/11,100%,17,Capitol Hill,47.62142,-122.31642,1,,170,unknown,unknown,0,150,2,7,180,97,10,10,10,10,13,1.78,unknown,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136480,539515,Shari,4/27/11,100%,2,Seward Park,47.55508,-122.26455,1,,85,385,unknown,0,25,1,2,14,97,9,10,9,9,2,1.07,unknown,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
140331,683617,Jana,6/9/11,90%,1,Central Area,47.61894,-122.29212,1,,75,480,1800,0,40,3,1,90,97,10,10,10,10,1,1.47,1800,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
143704,696788,Julie,6/13/11,100%,1,Central Area,47.61231,-122.29825,1,,68,575,2000,0,85,2,3,30,97,10,10,10,10,1,3.75,2000,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151545,306615,Tara,12/1/10,100%,7,Capitol Hill,47.65008,-122.31931,1.5,1200,199,1000,3000,750,150,4,7,1125,99,10,9,10,10,3,0.35,3000,3,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170273,804996,Nadine,7/11/11,100%,1,Queen Anne,47.62767,-122.35861,2.5,,750,unknown,unknown,500,175,6,2,60,100,10,10,10,10,1,2.41,unknown,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
189156,179030,Harriet,7/24/10,100%,1,West Seattle,47.54543,-122.39784,1,,78,488,1650,300,50,2,2,60,96,10,10,10,10,1,3.09,1650,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190984,923095,Denise,8/4/11,100%,2,Rainier Valley,47.55284,-122.27789,1,,80,700,2200,150,50,2,2,28,92,10,10,9,9,2,2.41,2200,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192666,933468,Vidya,8/7/11,100%,2,West Seattle,47.58216,-122.39387,1,,59,unknown,unknown,500,30,1,1,60,100,10,10,10,10,2,2.31,unknown,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
193836,583579,Amy,5/12/11,100%,1,West Seattle,47.5357,-122.38631,1,,89,575,1800,200,75,2,1,180,94,10,10,10,10,1,1.9,1800,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202251,601266,Tim And Pam,5/18/11,100%,1,Other neighborhoods,47.6777,-122.35984,1,,175,1200,4200,500,175,4,30,150,89,9,9,9,9,1,0.38,4200,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210316,2438665,Flor,5/22/12,100%,4,Other neighborhoods,47.6999,-122.36614,4,,95,500,2100,100,50,2,3,365,95,9,10,9,10,4,1.13,2100,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
215882,971336,Julie,8/15/11,100%,1,Rainier Valley,47.5613,-122.28122,1,,80,unknown,unknown,125,75,2,2,6,98,10,10,10,10,1,3.82,unknown,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217142,8243075,Lori,8/18/13,94%,4,Downtown,47.61534,-122.34791,2,,200,1530,4900,200,115,1,2,365,95,9,10,10,9,4,1.67,4900,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
218741,468703,Corinne & Tom,3/28/11,100%,2,Ballard,47.68231,-122.37875,1,183,90,567,unknown,200,25,2,1,21,96,10,10,10,10,2,1.49,unknown,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
219532,1037115,Rose And Glen,8/30/11,100%,11,Other neighborhoods,47.65692,-122.36093,1.5,,275,1850,2850,400,80,4,2,100,94,10,10,10,9,5,0.97,2850,3,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224763,8243075,Lori,8/18/13,94%,4,Downtown,47.61386,-122.34879,1,,139,unknown,3200,300,95,1,1,365,94,10,10,10,9,4,1.1,3200,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
226495,1037115,Rose And Glen,8/30/11,100%,11,Ballard,47.68966,-122.36839,1,,170,1140,1850,300,70,2,2,120,90,9,10,10,9,5,1.02,1850,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
226536,209571,Cheryl,8/22/10,100%,2,Magnolia,47.6612,-122.40145,1,,46,320,825,100,15,1,1,21,95,9,10,10,9,2,2.09,825,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
226677,30559,Angielena,8/9/09,100%,8,Other neighborhoods,47.54969,-122.31868,3,170,55,400,1400,100,10,1,2,30,96,10,10,9,10,8,1.54,1400,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
229990,1201633,Wayne,9/23/11,100%,2,West Seattle,47.57823,-122.41181,3,1400,160,unknown,unknown,200,75,6,1,28,100,10,10,10,10,1,0.53,unknown,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
241016,956883,Maija,8/11/11,100%,3,Queen Anne,47.64329,-122.37582,1,,215,unknown,unknown,0,20,2,2,60,95,10,10,10,9,3,1.56,unknown,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241032,956883,Maija,8/11/11,100%,3,Queen Anne,47.63629,-122.37103,1,,165,unknown,unknown,0,10,1,3,365,94,10,10,9,9,3,3.09,unknown,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
243885,1279637,Melody And Justin,10/11/11,unknown,1,Other neighborhoods,47.67058,-122.32363,1,850,125,600,unknown,100,100,5,7,30,95,10,10,10,10,1,0.04,unknown,2,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
251922,512084,Edwin,4/15/11,100%,1,West Seattle,47.58143,-122.39411,1,,85,558,2140,250,90,2,1,65,94,9,9,10,9,1,2.45,2140,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
254340,1336214,Kim,10/26/11,100%,1,Other neighborhoods,47.67717,-122.36169,1,500,85,615,unknown,200,75,2,30,180,98,10,10,10,10,1,1.69,unknown,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
260613,1387754,Monika,11/9/11,100%,2,Ballard,47.68649,-122.36846,1,,100,900,3700,800,100,1,1,180,98,10,10,10,9,1,0.59,3700,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
261912,558743,Natalie,5/5/11,100%,2,Other neighborhoods,47.68378,-122.34201,1,,200,unknown,unknown,400,150,2,4,14,96,10,10,10,10,2,0.34,unknown,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
271509,74305,Seattle Oasis,1/27/10,98%,57,Downtown,47.61578,-122.34872,1,,144,unknown,unknown,500,130,1,2,365,94,10,9,10,9,53,0.83,unknown,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
277416,8243075,Lori,8/18/13,94%,4,Downtown,47.61607,-122.34668,1,,139,1490,3200,300,96,1,2,365,97,10,10,10,9,4,1.26,3200,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
278830,1452570,Emily,11/29/11,100%,3,Queen Anne,47.63292,-122.37247,2,,375,unknown,unknown,2000,200,4,3,1125,93,10,10,9,9,3,0.83,unknown,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281208,658155,Joe,6/2/11,100%,17,Central Area,47.5938,-122.30515,2.5,1300,229,unknown,unknown,0,170,4,7,365,97,10,10,10,10,13,1.77,unknown,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
284087,721070,Suzanne,6/20/11,100%,3,Downtown,47.61148,-122.32912,1,,183,1200,3800,100,95,4,3,90,96,10,10,10,10,1,2.06,3800,2,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
286080,74305,Seattle Oasis,1/27/10,98%,57,Downtown,47.61523,-122.34703,2,,182,unknown,unknown,500,130,1,2,365,95,10,10,10,9,53,1.04,unknown,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
299817,1545026,Anna,12/28/11,100%,2,Capitol Hill,47.62388,-122.30133,1.5,,125,875,3000,350,250,2,7,1125,93,8,6,10,8,1,0.65,3000,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
301059,74305,Seattle Oasis,1/27/10,98%,57,Downtown,47.61497,-122.34855,1,,94,unknown,unknown,500,107,1,2,1125,98,10,10,10,10,53,0.62,unknown,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
303277,1204187,Kara,9/24/11,100%,4,Cascade,47.64481,-122.32429,1,,120,unknown,3193,1200,250,1,30,1125,96,10,10,10,9,2,0.11,3193,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
311790,1204187,Kara,9/24/11,100%,4,Cascade,47.64642,-122.32495,1,,50,500,2100,100,75,1,1,1,100,10,10,10,10,2,0.05,2100,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
317248,658155,Joe,6/2/11,100%,17,Capitol Hill,47.62336,-122.31668,2,,240,unknown,unknown,0,170,4,7,30,97,10,10,10,9,13,2.03,unknown,2,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
319768,1577903,Jen,1/7/12,unknown,1,Central Area,47.59583,-122.29788,2.5,,135,920,3400,0,100,3,5,30,100,10,8,9,10,1,0.05,3400,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
338091,1717589,Jen,2/7/12,100%,3,Capitol Hill,47.61897,-122.32421,1,,165,1400,3000,200,60,2,1,365,93,10,9,10,9,3,1.3,3000,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
